#,Header,Format,20020003,,X1,,,X2,,,Y1,,,Y2,
#,Ref,Ch:,Board,0,-,Channel,0,,,,,,,,
#,[Bref][Cref],Tstamp_ps,Energy,:,[Bx][Cx],deltaT_ns,Energy,...,,,,,,,
[00][00],1882611514561,399,:,[00][01],21.063,0,[00][02],112.25,930,[00][03],35.906,360,[00][04],114.439,331
[00][00],1905975858374,1543,:,[00][01],21.5,398,[00][02],122.5,3285,[00][03],67.843,1356,[00][04],80.843,1328
[00][00],1906131347467,306,:,[00][01],21.282,0,[00][02],70.844,246,[00][03],65.533,193,[00][04],85.282,193
[00][00],1968137152374,1428,:,[00][01],21.375,0,[00][02],95.937,2274,[00][03],71.437,1427,[00][04],75.687,1348
[00][00],2059008343374,568,:,[00][01],21.312,2,[00][02],126.812,1383,[00][03],87.125,502,[00][04],57.25,489
[00][00],2086091990983,1253,:,[00][01],21.078,595,[00][02],79.578,1244,[00][03],54.156,972,[00][04],94.266,903
[00][00],2152345471459,1210,:,[00][01],21.133,981,[00][02],82.04,1598,[00][03],99.071,1165,[00][04],47.665,1176
[00][00],2216718062092,1618,:,[00][01],21.188,1498,[00][02],19.908,1893,[00][03],23.016,1644,[00][04],124.25,1619
[00][00],2223168221217,311,:,[00][01],21.157,0,[00][02],91.344,543,[00][03],68.219,266,[00][04],81.969,255
[00][00],2251394189467,318,:,[00][01],21.094,0,[00][02],102.719,669,[00][03],66.094,243,[00][04],84.533,232
[00][00],2262829570108,369,:,[00][01],21.141,0,[00][02],105.766,871,[00][03],121.328,362,[00][04],27.453,342
[00][00],2339272799311,296,:,[00][01],19.75,139,[00][02],15.406,313,[00][03],59.125,275,[00][04],91.689,251
[00][00],2386961306577,636,:,[00][01],18.64,43,[00][02],75.797,639,[00][03],10.468,579,[00][04],139.172,519
[00][00],2388176871092,222,:,[00][01],21.594,0,[00][02],93.969,489,[00][03],128.157,223,[00][04],21.908,255
[00][00],2423370764280,726,:,[00][01],21.156,0,[00][02],94.031,929,[00][03],64.72,636,[00][04],85.72,567
[00][00],2439267834000,226,:,[00][01],22,0,[00][02],128.749,526,[00][03],54.561,192,[00][04],96.811,183
[00][00],2444492511014,1566,:,[00][01],21.219,760,[00][02],87.141,2241,[00][03],42.735,1276,[00][04],84.61,1189
